Customer_ID,Product_ID,Transaction_ID,Purchase_Frequency,Average_Order_Value,Most_Frequent_Category,Time_Between_Purchases,Region,Churn_Probability,Lifetime_Value,Launch_Date,Peak_Sales_Date,Season,Preferred_Purchase_Times,Retention_Strategy,Lifetime_Value_Capped,Launch_Year,Launch_Month,Launch_Day,Launch_Day_of_Week,Peak_Sales_Year,Peak_Sales_Month,Peak_Sales_Day,Peak_Sales_Day_of_Week,Customer_Segment,Total_Estimated_Spend,Value_Per_Purchase_Frequency
CUST_9HOS83,PROD_IK97D1,TRANS_II1DZG,17,172.57,Electronics,45,South America,0.98,952.81,2020-03-14,2023-09-11,Winter,Afternoon,Loyalty Program,952.81,2020,3,14,Saturday,2023,9,11,Monday,Low Value,2933.69,56.05
CUST_AJU17N,PROD_UNN7KP,TRANS_9HJF7I,10,64.89,Clothing,6,South America,0.66,5427.51,2022-10-15,2023-01-02,Spring,Afternoon,Discount,5427.51,2022,10,15,Saturday,2023,1,2,Monday,High Value,648.9,542.75
CUST_11XNYF,PROD_0XEW2W,TRANS_OT96OM,3,120.38,Sports,23,Asia,0.6,3994.8,2021-11-30,2023-04-06,Winter,Evening,Loyalty Program,3994.8,2021,11,30,Tuesday,2023,4,6,Thursday,Medium Value,361.14,1331.6
CUST_IGH8G3,PROD_3IIAJN,TRANS_45V00G,12,70.34,Clothing,5,North America,0.78,4880.01,2022-03-20,2023-03-23,Spring,Evening,Discount,4880.01,2022,3,20,Sunday,2023,3,23,Thursday,Medium Value,844.08,406.67
CUST_OK6PUM,PROD_VMIWD2,TRANS_ZAK760,18,42.39,Electronics,10,North America,0.52,8557.7,2022-11-09,2023-10-28,Spring,Morning,Discount,8557.7,2022,11,9,Wednesday,2023,10,28,Saturday,Very High Value,763.02,475.43
CUST_63F5GB,PROD_L0NAD5,TRANS_HI4MBV,12,132.9,Electronics,42,Europe,0.25,8215.33,2020-12-26,2023-12-09,Winter,Evening,Loyalty Program,8215.33,2020,12,26,Saturday,2023,12,9,Saturday,Very High Value,1594.8,684.61
CUST_P9K9F2,PROD_CVVCB0,TRANS_X0MXCI,16,128.43,Clothing,38,Europe,0.94,7031.07,2022-03-15,2023-09-06,Summer,Afternoon,Email Campaign,7031.07,2022,3,15,Tuesday,2023,9,6,Wednesday,High Value,2054.88,439.44
CUST_EMHZQV,PROD_PVOV5L,TRANS_9B8B46,10,67.52,Electronics,56,Asia,0.56,5167.16,2021-02-17,2023-06-12,Summer,Afternoon,Discount,5167.16,2021,2,17,Wednesday,2023,6,12,Monday,High Value,675.2,516.72
CUST_8E2Q1K,PROD_MG36BV,TRANS_AZ1OW8,7,165.26,Electronics,73,Europe,0.17,9943.51,2021-03-28,2023-02-05,Winter,Evening,Loyalty Program,9943.51,2021,3,28,Sunday,2023,2,5,Sunday,Very High Value,1156.82,1420.5
CUST_4VB1T5,PROD_DKK6UZ,TRANS_AC3353,6,52.86,Home,60,North America,0.59,9978.11,2021-08-16,2023-10-06,Winter,Evening,Loyalty Program,9978.11,2021,8,16,Monday,2023,10,6,Friday,Very High Value,317.16,1663.02
